0,-3.23E-07,
1.95E-07,-3.23E-07,
3.91E-07,-3.22E-07,
5.86E-07,-3.17E-07,
7.82E-07,-3.15E-07,
9.77E-07,-3.19E-07,
1.17E-06,-3.21E-07,
1.37E-06,-3.20E-07,
1.56E-06,-3.19E-07,
1.76E-06,-3.17E-07,
1.95E-06,-3.21E-07,
2.15E-06,-3.38E-07,
2.35E-06,-3.54E-07,
2.54E-06,-3.55E-07,
2.74E-06,-3.55E-07,
2.93E-06,-3.56E-07,
3.13E-06,-3.57E-07,
3.32E-06,-3.55E-07,
3.52E-06,-3.54E-07,
3.71E-06,-3.53E-07,
3.91E-06,-3.52E-07,
4.10E-06,-3.52E-07,
4.30E-06,-3.53E-07,
4.50E-06,-3.53E-07,
4.69E-06,-3.52E-07,